account_code,account_name,account_type,debit,credit,currency
1010,Cash and Cash Equivalents,asset,5250000.00,0.00,USD
1011,Petty Cash,asset,5000.00,0.00,USD
1012,Cash in Transit,asset,125000.00,0.00,USD
1020,Accounts Receivable - Trade,asset,3200000.00,0.00,USD
1021,Accounts Receivable - Related Parties,asset,450000.00,0.00,USD
1022,Accounts Receivable - Employees,asset,35000.00,0.00,USD
1025,Allowance for Doubtful Accounts,asset,0.00,150000.00,USD
1030,Inventory - Raw Materials,asset,1800000.00,0.00,USD
1031,Inventory - Work in Progress,asset,650000.00,0.00,USD
1032,Inventory - Finished Goods,asset,1350000.00,0.00,USD
1033,Inventory - Spare Parts,asset,180000.00,0.00,USD
1034,Inventory Reserve,asset,0.00,95000.00,USD
1040,Prepaid Insurance,asset,280000.00,0.00,USD
1041,Prepaid Rent,asset,120000.00,0.00,USD
1042,Prepaid Subscriptions,asset,45000.00,0.00,USD
1043,Other Prepaid Expenses,asset,85000.00,0.00,USD
1050,Short-term Investments - Bonds,asset,800000.00,0.00,USD
1051,Short-term Investments - Equities,asset,500000.00,0.00,USD
1052,Money Market Funds,asset,350000.00,0.00,USD
1060,Notes Receivable - Current,asset,250000.00,0.00,USD
1070,Advances to Suppliers,asset,180000.00,0.00,USD
1080,Security Deposits - Current,asset,45000.00,0.00,USD
1090,Other Current Assets,asset,65000.00,0.00,USD
1100,Land,asset,2500000.00,0.00,USD
1101,Land Improvements,asset,450000.00,0.00,USD
1110,Buildings,asset,8500000.00,0.00,USD
1111,Accumulated Depreciation - Buildings,asset,0.00,1200000.00,USD
1120,Machinery and Equipment,asset,4500000.00,0.00,USD
1121,Accumulated Depreciation - Machinery,asset,0.00,1800000.00,USD
1122,Computer Equipment,asset,650000.00,0.00,USD
1123,Accumulated Depreciation - Computers,asset,0.00,420000.00,USD
1130,Vehicles,asset,850000.00,0.00,USD
1131,Accumulated Depreciation - Vehicles,asset,0.00,350000.00,USD
1140,Furniture and Fixtures,asset,450000.00,0.00,USD
1141,Accumulated Depreciation - Furniture,asset,0.00,180000.00,USD
1150,Leasehold Improvements,asset,750000.00,0.00,USD
1151,Accumulated Amortization - Leasehold,asset,0.00,225000.00,USD
1160,Construction in Progress,asset,1200000.00,0.00,USD
1200,Patents,asset,1200000.00,0.00,USD
1201,Accumulated Amortization - Patents,asset,0.00,280000.00,USD
1210,Trademarks,asset,800000.00,0.00,USD
1211,Accumulated Amortization - Trademarks,asset,0.00,120000.00,USD
1220,Goodwill,asset,3500000.00,0.00,USD
1230,Customer Relationships,asset,1500000.00,0.00,USD
1231,Accumulated Amortization - Customer,asset,0.00,450000.00,USD
